consumer_id,debt,name,address_id
aba156c6-02bf-4f51-8df0-227df3ffc0fd,19,Billy Crowd,46d60e3d-8477-4882-94ab-f5247c665b05
4d3957be-738e-4103-857d-39cdedc2f03c,63,Leela Fillimore,1ef7069b-03fa-456e-92cd-319d9800bfa7
d8926c08-ba06-4a2c-8b40-81f6595b75fe,88,Dal Bantock,77139a66-91aa-462f-a97b-6dbdaa236a54
a3a1bcd0-0b6c-485e-90eb-48d14d6253a1,21,Franz McKay,663cde8f-dcc0-4f2b-8bc3-0ea5ab029d94
18e5c1cc-5382-4465-89ff-2b01a931aa9c,68,Daffy Panther,41d7a943-aeab-4d4a-a48c-b068fdc1844a
5a7007a4-7009-4373-a154-5d87365293ac,85,Barnabe Ingham,97baea42-b5c5-414b-bdd4-52af6e4835fc
0fe9c6ce-cd38-465a-8c9d-0b9d8520bcf8,43,Justin Gerty,392c9862-59c9-46b9-9fa2-4c0a4fe54032
f7e9b838-0a68-4217-83fd-db7a3e54e371,58,Aldous Sawden,2f084d63-0503-4bd7-ab78-ba6044420e32
9dbd2490-7922-4ee2-8b98-69a3be4190a1,35,Cullan Paffitt,c9ccbe5b-c576-44e0-8c5a-a80276366524
6c2db0f5-0964-4054-a7a1-3b2a09e7647b,5,Jodie Manoelli,e8c0e6c5-c43e-4113-8445-eb30f8ffeda7
6f1b2f41-93dd-4678-94d4-0b40062e68c8,7,Corabel Rogge,ade95560-07db-48ec-92db-da36f1584c9e
68802086-4ea0-40de-b7ae-8a89f6b904c8,88,Giff Belding,db3a3d29-86de-4130-a622-05d618f0bdb5
bbdc7fe7-f90e-469f-b591-1a6edfc83873,29,Jillana Keune,e6ee4f63-3d58-47e3-b11b-5783e6d3d510
62a33084-6a52-4571-9ae5-df729ccffae9,54,Madelin Moscrop,e3f0e2ec-96a4-4c32-814d-6b3ea1bb8a88
9f8416f1-5df4-4574-8118-7da5e68aab4b,16,Kim Duckfield,39a1ef58-2105-40f2-9725-62d28d60586b
f43b8eac-0dd2-4cff-9e19-935fa3f4cff4,10,Stanford Capnor,9dc398b7-8103-4a34-a4ac-999ac9a171d1
6e59712f-fb10-43e2-b758-a948b02c4582,53,Randy Cramphorn,99066bf9-4d19-47fe-805e-1af7705f6954
17b1e2c0-aa22-49de-9327-c63dfeedc90d,10,Towney Deinert,b1496cc3-60b7-4997-968f-91c869e5939c
f97f2cb9-05db-49fe-9242-ba35fb4eda83,97,Bryna Gipp,40f3e748-1074-4b4a-b5b6-c79f83bc0c53
38fc6714-d52d-4708-9c04-363c763c7112,48,Matelda Bouzek,f231991e-40f8-4cc7-8f56-557f7b79b62b
e7d78969-dbf7-4e42-a6dc-7e4c9a21d323,95,Hamnet Ridgwell,0e32b52b-971e-4afc-8b5f-4dd24e1f7691
8900894e-7fb7-4bbf-98cb-275ed7b60c99,61,Tammie Meaking,6bcbbccb-cb93-4151-8ede-52ffbf9c2470
bcb729e2-5b29-4a32-b647-44447286c0b7,56,Cristabel Weatherburn,9714589b-006e-41c2-a57a-048374622fc3
